Independent variable	 dependent variable	 epsilon
48.000000 	 1298.428493 	 -0.571507 
49.000000 	 1349.647730 	 -0.852270 
50.000000 	 1402.643941 	 -0.356059 
51.000000 	 1455.100439 	 -1.399561 
52.000000 	 1510.194941 	 -0.805059 
53.000000 	 1566.476058 	 -0.023942 
54.000000 	 1621.812421 	 -1.187579 
55.000000 	 1681.830282 	 1.330282 
56.000000 	 1738.026889 	 -0.973111 
57.000000 	 1798.981269 	 0.481269 
58.000000 	 1860.246638 	 1.246638 
59.000000 	 1919.653992 	 -0.846008 
60.000000 	 1982.140467 	 -0.859533 
61.000000 	 2045.598732 	 -0.901268 
62.000000 	 2110.123953 	 -0.876047 
63.000000 	 2177.102299 	 0.602299 
64.000000 	 2243.021917 	 0.021917 
65.000000 	 2310.396171 	 -0.103829 
66.000000 	 2379.099093 	 0.099093 
67.000000 	 2449.050659 	 0.550659 
68.000000 	 2520.123569 	 1.123569 
69.000000 	 2590.169867 	 -0.330133 
70.000000 	 2662.838864 	 -0.161136 
71.000000 	 2737.640425 	 1.140425 
72.000000 	 2810.859251 	 -0.140749 
73.000000 	 2886.171997 	 -0.328003 
74.000000 	 2963.867305 	 0.867305 
75.000000 	 3038.514233 	 -1.985767 
76.000000 	 3119.042286 	 0.042286 
77.000000 	 3198.720132 	 0.220132 
78.000000 	 3278.434557 	 -0.565443 
79.000000 	 3358.706312 	 -1.793688 
80.000000 	 3442.413094 	 -0.586906 
81.000000 	 3525.170217 	 -1.329783 
82.000000 	 3609.399399 	 -1.600601 
83.000000 	 3695.786819 	 -0.713181 
84.000000 	 3782.302090 	 -0.697910 
85.000000 	 3870.276755 	 -0.223245 
86.000000 	 3958.486082 	 -0.513918 
87.000000 	 4048.870498 	 0.370498 
88.000000 	 4138.562018 	 -0.437982 
89.000000 	 4231.938616 	 1.438616 
90.000000 	 4323.190180 	 0.190180 
91.000000 	 4417.324377 	 0.824377 
92.000000 	 4510.262189 	 -0.737811 
93.000000 	 4606.335800 	 -0.164200 
94.000000 	 4703.887568 	 0.887568 
95.000000 	 4800.879255 	 0.379255 
96.000000 	 4898.714199 	 -0.285801 
97.000000 	 4999.252680 	 0.752680 
98.000000 	 5099.196965 	 0.196965 
99.000000 	 5198.967812 	 -1.532188 
100.000000 	 5303.088463 	 0.088463 
101.000000 	 5406.410301 	 -0.089699 
102.000000 	 5510.228860 	 -0.771140 
103.000000 	 5615.250731 	 -1.249269 
104.000000 	 5722.563280 	 -0.436720 
105.000000 	 5830.116175 	 -0.383825 
106.000000 	 5938.767514 	 -0.232486 
107.000000 	 6047.786996 	 -0.713004 
108.000000 	 6158.747272 	 -0.252728 
109.000000 	 6270.768477 	 0.268477 
110.000000 	 6382.041644 	 -0.958356 
111.000000 	 6496.370170 	 -0.129830 
112.000000 	 6611.275593 	 0.275593 
113.000000 	 6725.365707 	 -1.134293 
114.000000 	 6840.690883 	 -2.309117 
115.000000 	 6961.013854 	 0.513854 
116.000000 	 7079.305791 	 0.305791 
117.000000 	 7197.893185 	 -0.606815 
118.000000 	 7319.814855 	 0.814855 
119.000000 	 7439.929226 	 -0.570774 
120.000000 	 7561.993296 	 -1.006704 
121.000000 	 7685.860790 	 -0.639210 
122.000000 	 7811.669695 	 0.669695 
123.000000 	 7936.376018 	 -0.123982 
124.000000 	 8062.455792 	 -0.544208 
125.000000 	 8190.672271 	 0.172271 
126.000000 	 8319.123847 	 0.123847 
127.000000 	 8447.667602 	 -0.832398 
128.000000 	 8576.638188 	 -2.361812 
129.000000 	 8712.000566 	 1.500566 
130.000000 	 8842.705837 	 -0.294163 
131.000000 	 8975.984760 	 -0.515240 
132.000000 	 9110.735398 	 -0.264602 
133.000000 	 9246.249523 	 -0.250477 
134.000000 	 9382.866183 	 -0.133817 
135.000000 	 9520.584379 	 0.084379 
136.000000 	 9657.201485 	 -1.798515 
137.000000 	 9800.182102 	 1.682102 
138.000000 	 9939.869212 	 0.869212 
139.000000 	 10081.001052 	 0.501052 
140.000000 	 10221.596949 	 -1.403051 
141.000000 	 10367.754817 	 1.254817 
142.000000 	 10511.077741 	 0.077741 
143.000000 	 10656.930904 	 0.430904 
144.000000 	 10804.463777 	 1.463777 
145.000000 	 10950.367346 	 -0.132654 
146.000000 	 11098.864806 	 -0.135194 
147.000000 	 11248.554386 	 0.054386 
148.000000 	 11399.484164 	 0.484164 
149.000000 	 11550.502519 	 0.002519 
150.000000 	 11702.221337 	 -0.778663 
151.000000 	 11855.509208 	 -0.990792 
152.000000 	 12011.130467 	 0.130467 
153.000000 	 12165.544784 	 -0.955216 
154.000000 	 12322.592939 	 -0.407061 
155.000000 	 12479.877590 	 -0.622410 
156.000000 	 12639.522587 	 0.522587 
157.000000 	 12797.952651 	 -0.547349 
158.000000 	 12959.236127 	 0.236127 
159.000000 	 13121.325022 	 0.825022 
160.000000 	 13281.550581 	 -1.449419 
161.000000 	 13446.444031 	 -0.055969 
162.000000 	 13610.535796 	 -0.464204 
163.000000 	 13776.606328 	 0.106328 
164.000000 	 13940.821986 	 -2.178014 
165.000000 	 14109.360442 	 -1.139558 
166.000000 	 14278.637125 	 -0.362875 
167.000000 	 14449.335229 	 0.835229 
168.000000 	 14619.774143 	 0.774143 
169.000000 	 14790.599768 	 0.099768 
170.000000 	 14964.750187 	 1.750187 
171.000000 	 15138.371918 	 1.871918 
172.000000 	 15309.164010 	 -1.835990 
173.000000 	 15486.977387 	 0.477387 
174.000000 	 15663.001266 	 0.001266 
175.000000 	 15840.721434 	 0.221434 
176.000000 	 16018.285339 	 -0.714661 
177.000000 	 16198.689008 	 0.189008 
178.000000 	 16378.920412 	 -0.079588 
179.000000 	 16560.492449 	 -0.007551 
180.000000 	 16741.874865 	 -1.125135 
181.000000 	 16926.795018 	 0.295018 
182.000000 	 17110.499691 	 -0.500309 
183.000000 	 17294.200853 	 -2.299147 
184.000000 	 17481.981680 	 -1.018320 
185.000000 	 17669.889060 	 -0.610940 
186.000000 	 17858.264175 	 -0.735825 
187.000000 	 18047.759474 	 -0.740526 
188.000000 	 18238.706738 	 -0.293262 
189.000000 	 18430.560709 	 0.060709 
190.000000 	 18622.471380 	 -0.528620 
191.000000 	 18815.961579 	 -0.538421 
192.000000 	 19010.269427 	 -0.730573 
193.000000 	 19204.781810 	 -1.718190 
194.000000 	 19404.073007 	 1.073007 
195.000000 	 19598.783219 	 -1.716781 
196.000000 	 19797.847581 	 -1.152419 
197.000000 	 19998.169438 	 -0.330562 
198.000000 	 20200.030998 	 1.030998 
199.000000 	 20400.015353 	 -0.484647 
200.000000 	 20604.655207 	 1.655207 
201.000000 	 20806.252847 	 -0.247153 
202.000000 	 21012.312913 	 1.312913 
203.000000 	 21215.959747 	 -0.540253 
204.000000 	 21422.367184 	 -0.632816 
205.000000 	 21630.032828 	 -0.467172 
206.000000 	 21840.417937 	 1.417937 
207.000000 	 22048.642139 	 0.142139 
208.000000 	 22259.778498 	 0.778498 
209.000000 	 22469.306925 	 -1.193075 
210.000000 	 22682.832307 	 -0.167693 
211.000000 	 22894.684668 	 -1.815332 
212.000000 	 23111.434085 	 0.434085 
213.000000 	 23327.126081 	 0.626081 
214.000000 	 23542.457268 	 -0.542732 
215.000000 	 23761.361308 	 0.861308 
216.000000 	 23980.015918 	 1.015918 
217.000000 	 24199.151344 	 0.651344 
218.000000 	 24421.365449 	 2.365449 
219.000000 	 24639.146346 	 -1.353654 
220.000000 	 24862.726918 	 -0.273082 
221.000000 	 25086.376543 	 -0.123457 
222.000000 	 25309.095286 	 -1.904714 
223.000000 	 25535.297679 	 -1.202321 
224.000000 	 25762.554022 	 -0.445978 
225.000000 	 25989.122082 	 -1.377918 
226.000000 	 26218.040834 	 -0.959166 
227.000000 	 26449.049331 	 0.549331 
228.000000 	 26678.307580 	 -0.692420 
229.000000 	 26912.757210 	 2.257210 
230.000000 	 27142.323866 	 -0.676134 
231.000000 	 27377.797839 	 1.297839 
232.000000 	 27611.826014 	 0.826014 
233.000000 	 27846.335574 	 -0.164426 
234.000000 	 28083.231285 	 0.231285 
235.000000 	 28319.714231 	 -0.785769 
236.000000 	 28559.491896 	 0.491896 
237.000000 	 28797.107504 	 -1.392496 
238.000000 	 29039.487170 	 0.487170 
239.000000 	 29280.628934 	 0.128934 
240.000000 	 29523.827314 	 0.827314 
241.000000 	 29765.803278 	 -0.696722 
242.000000 	 30010.133723 	 -0.866277 
243.000000 	 30256.354840 	 -0.145160 
244.000000 	 30501.811152 	 -1.188848 
245.000000 	 30750.234704 	 -0.265296 
246.000000 	 31000.418877 	 1.418877 
247.000000 	 31250.331439 	 1.831439 
248.000000 	 31499.457844 	 0.457844 
249.000000 	 31751.058057 	 0.558057 
250.000000 	 32005.544706 	 2.544706 
251.000000 	 32255.683813 	 -0.816187 
252.000000 	 32512.447616 	 1.447616 
253.000000 	 32767.038567 	 0.538567 
254.000000 	 33023.396189 	 0.396189 
255.000000 	 33279.539057 	 -0.960943 
256.000000 	 33538.772660 	 -0.227340 
257.000000 	 33798.324987 	 -0.175013 
258.000000 	 34058.872848 	 -0.127152 
259.000000 	 34322.554992 	 2.054992 
260.000000 	 34584.429211 	 1.429211 
261.000000 	 34845.595456 	 -0.904544 
262.000000 	 35110.554578 	 -0.445422 
263.000000 	 35376.792692 	 0.292692 
264.000000 	 35642.185981 	 -0.814019 
265.000000 	 35909.664932 	 -0.835068 
266.000000 	 36179.344610 	 0.344610 
267.000000 	 36448.267236 	 -0.232764 
268.000000 	 36719.614110 	 0.614110 
269.000000 	 36991.250953 	 0.750953 
270.000000 	 37262.844574 	 -0.155426 
271.000000 	 37535.037264 	 -1.462736 
272.000000 	 37811.567548 	 0.567548 
273.000000 	 38086.409642 	 -0.090358 
274.000000 	 38363.545008 	 0.545008 
275.000000 	 38641.674692 	 1.174692 
276.000000 	 38918.227043 	 -0.772957 
277.000000 	 39199.194624 	 0.694624 
278.000000 	 39477.655573 	 -1.344427 
279.000000 	 39760.548326 	 0.048326 
280.000000 	 40042.414154 	 -0.585846 
281.000000 	 40327.124649 	 0.624649 
282.000000 	 40610.985113 	 -0.014887 
283.000000 	 40896.413913 	 -0.086087 
284.000000 	 41180.761785 	 -2.238215 
285.000000 	 41470.140098 	 -0.359902 
286.000000 	 41759.905179 	 0.905179 
287.000000 	 42046.913917 	 -1.586083 
288.000000 	 42338.719838 	 -0.280162 
289.000000 	 42630.768449 	 0.268449 
290.000000 	 42923.593469 	 0.593469 
291.000000 	 43216.192934 	 -0.307066 
292.000000 	 43510.736689 	 -0.263311 
293.000000 	 43807.591524 	 1.091524 
294.000000 	 44105.325084 	 2.325084 
295.000000 	 44400.735271 	 0.235271 
296.000000 	 44699.403921 	 0.403921 
297.000000 	 45001.353115 	 2.853115 
298.000000 	 45299.622432 	 0.622432 
299.000000 	 45599.795519 	 -0.704481 
300.000000 	 45901.712005 	 -1.287995 
301.000000 	 46204.885822 	 -1.614178 
302.000000 	 46509.287975 	 -1.712025 
303.000000 	 46816.529140 	 0.029140 
304.000000 	 47122.999899 	 -0.000101 
305.000000 	 47432.411504 	 1.911504 
306.000000 	 47739.372227 	 0.372227 
307.000000 	 48048.996893 	 0.496893 
308.000000 	 48359.277341 	 0.277341 
309.000000 	 48670.382522 	 -0.117478 
310.000000 	 48983.266727 	 0.266727 
311.000000 	 49296.288060 	 -0.211940 
312.000000 	 49608.313497 	 -2.686503 
313.000000 	 49925.034625 	 -1.465375 
314.000000 	 50244.079635 	 1.079635 
315.000000 	 50560.350683 	 -0.149317 
316.000000 	 50879.574955 	 0.574955 
317.000000 	 51198.216631 	 -0.283369 
318.000000 	 51519.930772 	 0.930772 
319.000000 	 51840.312194 	 -0.187806 
320.000000 	 52163.778816 	 0.778816 
321.000000 	 52485.873594 	 -0.626406 
322.000000 	 52814.037205 	 3.037205 
323.000000 	 53135.776353 	 -0.723647 
324.000000 	 53462.363178 	 -0.636822 
325.000000 	 53789.360543 	 -1.139457 
326.000000 	 54120.122416 	 1.122416 
327.000000 	 54448.443815 	 -0.056185 
328.000000 	 54779.256873 	 0.256873 
329.000000 	 55110.583266 	 0.083266 
330.000000 	 55442.703728 	 -0.296272 
331.000000 	 55777.220804 	 0.720804 
332.000000 	 56110.525899 	 -0.474101 
333.000000 	 56445.459459 	 -1.040541 
334.000000 	 56781.754126 	 -1.245874 
335.000000 	 57120.706439 	 0.206439 
336.000000 	 57458.129086 	 -0.870914 
337.000000 	 57797.962217 	 -0.537783 
338.000000 	 58138.477797 	 -0.522203 
339.000000 	 58481.549866 	 1.049866 
340.000000 	 58822.284761 	 -0.715239 
341.000000 	 59167.244905 	 0.744905 
342.000000 	 59510.186800 	 -0.813200 
343.000000 	 59857.372173 	 0.872173 
344.000000 	 60203.546045 	 0.546045 
345.000000 	 60550.854111 	 0.354111 
346.000000 	 60899.832823 	 0.832823 
347.000000 	 61246.307985 	 -2.192015 
348.000000 	 61598.004532 	 -0.995468 
349.000000 	 61952.142840 	 1.642840 
350.000000 	 62304.915154 	 1.915154 
351.000000 	 62655.946707 	 -0.553293 
352.000000 	 63012.016710 	 1.016710 
353.000000 	 63367.151807 	 0.651807 
354.000000 	 63721.235204 	 -1.764796 
355.000000 	 64080.752288 	 0.252288 
356.000000 	 64438.549237 	 -0.450763 
357.000000 	 64798.089551 	 -0.410449 
358.000000 	 65159.736261 	 0.736261 
359.000000 	 65520.772178 	 0.272178 
360.000000 	 65884.887648 	 1.887648 
361.000000 	 66247.345494 	 0.845494 
362.000000 	 66610.759714 	 -0.240286 
363.000000 	 66975.364441 	 -1.135559 
364.000000 	 67340.793308 	 -2.206692 
365.000000 	 67711.058464 	 0.558464 
366.000000 	 68078.227441 	 -0.772559 
367.000000 	 68448.928557 	 0.428557 
368.000000 	 68819.571523 	 0.571523 
369.000000 	 69189.981419 	 -0.518581 
370.000000 	 69563.437112 	 0.437112 
371.000000 	 69936.838664 	 0.338664 
372.000000 	 70310.338473 	 -0.661527 
373.000000 	 70687.805344 	 1.305344 
374.000000 	 71062.467974 	 -0.532026 
375.000000 	 71439.547019 	 -0.952981 
376.000000 	 71818.088862 	 -0.911138 
377.000000 	 72197.608310 	 -0.891690 
378.000000 	 72579.141285 	 0.141285 
379.000000 	 72963.041244 	 2.541244 
380.000000 	 73342.311027 	 -0.688973 
381.000000 	 73727.313260 	 0.813260 
382.000000 	 74111.527126 	 0.527126 
383.000000 	 74498.158522 	 1.658522 
384.000000 	 74884.213156 	 1.213156 
385.000000 	 75271.598144 	 1.098144 
386.000000 	 75659.347379 	 0.347379 
387.000000 	 76047.864105 	 -0.635895 
388.000000 	 76440.011990 	 1.011990 
389.000000 	 76831.277807 	 0.777807 
390.000000 	 77222.364097 	 -0.635903 
391.000000 	 77615.434698 	 -1.065302 
392.000000 	 78013.087162 	 2.087162 
393.000000 	 78408.686336 	 2.186336 
394.000000 	 78805.291316 	 2.291316 
395.000000 	 79198.759092 	 -1.740908 
396.000000 	 79598.303181 	 -0.696819 
397.000000 	 79998.763215 	 0.263215 
398.000000 	 80400.230733 	 1.230733 
399.000000 	 80800.876344 	 0.376344 
400.000000 	 81203.319591 	 0.319591 
401.000000 	 81607.134560 	 0.634560 
402.000000 	 82010.468766 	 -0.531234 
403.000000 	 82417.488112 	 0.988112 
404.000000 	 82823.691346 	 0.691346 
405.000000 	 83230.144571 	 -0.355429 
406.000000 	 83637.854216 	 -1.145784 
407.000000 	 84045.408827 	 -3.091173 
408.000000 	 84460.124049 	 1.124049 
409.000000 	 84869.594157 	 -0.905843 
410.000000 	 85283.210562 	 0.210562 
411.000000 	 85694.632248 	 -1.867752 
412.000000 	 86112.621271 	 1.621271 
413.000000 	 86525.836698 	 -0.663302 
414.000000 	 86943.502081 	 0.502081 
415.000000 	 87361.909603 	 1.409603 
416.000000 	 87779.348334 	 0.348334 
417.000000 	 88195.451779 	 -3.048221 
418.000000 	 88618.347911 	 -0.652089 
419.000000 	 89039.540925 	 -0.959075 
420.000000 	 89461.797835 	 -1.202165 
421.000000 	 89888.507080 	 2.007080 
422.000000 	 90311.173544 	 0.173544 
423.000000 	 90735.394744 	 -1.105256 
424.000000 	 91163.767210 	 0.767210 
425.000000 	 91589.607873 	 -0.892127 
426.000000 	 92019.216994 	 0.216994 
427.000000 	 92449.013052 	 0.513052 
428.000000 	 92876.940165 	 -2.059835 
429.000000 	 93311.280860 	 0.780860 
430.000000 	 93743.996817 	 0.996817 
431.000000 	 94176.143782 	 -0.356218 
432.000000 	 94612.434889 	 1.434889 
433.000000 	 95046.977688 	 0.477688 
434.000000 	 95481.702458 	 -1.297542 
435.000000 	 95921.441585 	 0.941585 
436.000000 	 96356.818689 	 -2.181311 
437.000000 	 96799.033230 	 0.533230 
438.000000 	 97238.404578 	 -0.595422 
439.000000 	 97681.630742 	 1.130742 
440.000000 	 98122.001002 	 -0.998998 
441.000000 	 98564.792224 	 -1.707776 
442.000000 	 99011.905583 	 0.905583 
443.000000 	 99455.691364 	 -0.808636 
444.000000 	 99903.149463 	 0.149463 
445.000000 	 100350.101422 	 -0.398578 
446.000000 	 100797.679905 	 -1.320095 
447.000000 	 101247.847562 	 -0.652438 
448.000000 	 101697.521462 	 -1.478538 
449.000000 	 102150.037148 	 -0.462852 
450.000000 	 102604.654020 	 1.654020 
451.000000 	 103057.458283 	 0.958283 
452.000000 	 103509.853016 	 -1.146984 
453.000000 	 103966.328465 	 -0.171535 
454.000000 	 104422.466904 	 -0.533096 
455.000000 	 104878.774929 	 -1.725071 
456.000000 	 105338.676551 	 -0.323449 
457.000000 	 105798.275185 	 -0.224815 
458.000000 	 106257.892253 	 -1.107747 
459.000000 	 106721.335282 	 0.835282 
460.000000 	 107182.514511 	 -0.485489 
461.000000 	 107647.695329 	 1.195329 
462.000000 	 108112.451303 	 1.451303 
463.000000 	 108576.188457 	 -0.311543 
464.000000 	 109042.906325 	 -0.093675 
465.000000 	 109510.531728 	 0.031728 
466.000000 	 109978.132508 	 -0.867492 
467.000000 	 110448.995668 	 0.495668 
468.000000 	 110920.469665 	 1.469665 
469.000000 	 111391.742657 	 1.242657 
470.000000 	 111861.566463 	 -1.433537 
471.000000 	 112336.463960 	 -0.036040 
472.000000 	 112810.835638 	 -0.164362 
473.000000 	 113285.825385 	 -0.674615 
474.000000 	 113763.342828 	 0.342828 
475.000000 	 114240.114303 	 -0.385697 
476.000000 	 114719.888058 	 0.888058 
477.000000 	 115197.644131 	 -0.855869 
478.000000 	 115680.440341 	 1.440341 
479.000000 	 116161.145235 	 0.645235 
480.000000 	 116643.188437 	 0.188437 
481.000000 	 117125.946317 	 -0.553683 
482.000000 	 117609.985086 	 -1.014914 
483.000000 	 118095.414107 	 -1.085893 
484.000000 	 118583.780098 	 0.780098 
485.000000 	 119070.948904 	 0.448904 
486.000000 	 119558.722751 	 -0.277249 
487.000000 	 120046.994743 	 -1.505257 
488.000000 	 120540.036650 	 1.036650 
489.000000 	 121031.150019 	 0.650019 
490.000000 	 121522.277203 	 -0.722797 
491.000000 	 122016.695033 	 0.195033 
492.000000 	 122510.474715 	 -0.525285 
493.000000 	 123006.765322 	 0.265322 
494.000000 	 123501.717748 	 -1.282252 
495.000000 	 124000.693461 	 0.193461 
496.000000 	 124497.870555 	 -1.129445 
497.000000 	 124998.384645 	 -0.115355 
498.000000 	 125500.391410 	 1.391410 
499.000000 	 125999.922560 	 -0.577440 
500.000000 	 126502.718341 	 -0.281659 
501.000000 	 127005.716455 	 -0.783545 
502.000000 	 127509.412466 	 -1.587534 
503.000000 	 128016.279173 	 -0.220827 
504.000000 	 128521.610803 	 -1.389197 
505.000000 	 129031.954779 	 1.454779 
506.000000 	 129539.281330 	 0.281330 
507.000000 	 130046.989402 	 -1.510598 
508.000000 	 130560.696587 	 1.696587 
509.000000 	 131069.272913 	 -1.227087 
510.000000 	 131583.879604 	 0.879604 
511.000000 	 132097.098965 	 0.598965 
512.000000 	 132610.263529 	 -0.736471 
513.000000 	 133127.279100 	 0.779100 
514.000000 	 133643.632885 	 0.632885 
515.000000 	 134159.535343 	 -0.964657 
516.000000 	 134680.022697 	 1.022697 
517.000000 	 135198.037484 	 -0.462516 
518.000000 	 135718.189310 	 -0.810690 
519.000000 	 136240.933132 	 0.433132 
520.000000 	 136764.324372 	 1.324372 
521.000000 	 137288.489464 	 1.989464 
522.000000 	 137808.659589 	 -2.340411 
523.000000 	 138336.478092 	 -0.021908 
524.000000 	 138862.975460 	 -0.024540 
525.000000 	 139390.988926 	 0.488926 
526.000000 	 139918.744901 	 -0.255099 
527.000000 	 140445.463941 	 -3.036059 
528.000000 	 140978.113550 	 -0.886450 
529.000000 	 141509.523367 	 -0.976633 
530.000000 	 142044.038311 	 1.038311 
531.000000 	 142578.217608 	 1.717608 
532.000000 	 143112.641676 	 1.641676 
533.000000 	 143647.282579 	 0.782579 
534.000000 	 144182.049145 	 -0.950855 
535.000000 	 144720.133124 	 -0.366876 
536.000000 	 145260.038391 	 1.038391 
537.000000 	 145797.614773 	 -0.885227 
538.000000 	 146340.079180 	 1.079180 
539.000000 	 146881.079063 	 0.579063 
540.000000 	 147422.815745 	 -0.184255 
541.000000 	 147964.927562 	 -1.572438 
542.000000 	 148512.349115 	 1.349115 
543.000000 	 149054.649794 	 -1.850206 
544.000000 	 149602.409700 	 -0.590300 
545.000000 	 150150.581623 	 0.081623 
546.000000 	 150699.386723 	 0.386723 
547.000000 	 151249.909175 	 1.409175 
548.000000 	 151797.566772 	 -1.433228 
549.000000 	 152349.860179 	 -0.639821 
550.000000 	 152901.553955 	 -1.446045 
551.000000 	 153454.829348 	 -1.670652 
552.000000 	 154011.071547 	 0.071547 
553.000000 	 154567.109460 	 0.609460 
554.000000 	 155123.598505 	 0.598505 
555.000000 	 155679.419000 	 -1.081000 
556.000000 	 156239.334556 	 0.334556 
557.000000 	 156799.838000 	 1.338000 
558.000000 	 157357.274906 	 -1.725094 
559.000000 	 157921.496957 	 0.996957 
560.000000 	 158481.770877 	 -1.229123 
561.000000 	 159046.939212 	 0.439212 
562.000000 	 159610.742592 	 -0.257408 
563.000000 	 160177.327178 	 0.827178 
564.000000 	 160742.742056 	 -0.257944 
565.000000 	 161311.620983 	 1.120983 
566.000000 	 161878.266047 	 -0.733953 
567.000000 	 162448.652330 	 0.152330 
568.000000 	 163018.737035 	 -0.262965 
569.000000 	 163590.425647 	 -0.074353 
570.000000 	 164163.566110 	 0.566110 
571.000000 	 164736.241885 	 -0.258115 
572.000000 	 165310.906013 	 -0.093987 
573.000000 	 165885.340319 	 -1.159681 
574.000000 	 166463.729239 	 0.729239 
575.000000 	 167041.169596 	 0.669596 
576.000000 	 167618.551255 	 -0.448745 
577.000000 	 168197.564968 	 -0.935032 
578.000000 	 168778.943311 	 -0.056689 
579.000000 	 169361.613114 	 1.113114 
580.000000 	 169943.850927 	 0.850927 
581.000000 	 170526.518657 	 0.018657 
582.000000 	 171110.168580 	 -0.831420 
583.000000 	 171697.096672 	 0.596672 
584.000000 	 172281.159582 	 -1.840418 
585.000000 	 172871.485478 	 0.985478 
586.000000 	 173458.171899 	 -0.828101 
587.000000 	 174049.949022 	 1.449022 
588.000000 	 174639.263724 	 0.263724 
589.000000 	 175229.455079 	 -1.044921 
590.000000 	 175823.543698 	 0.543698 
591.000000 	 176414.970729 	 -1.529271 
592.000000 	 177011.756137 	 0.756137 
593.000000 	 177604.707636 	 -1.792364 
594.000000 	 178201.310222 	 -1.689778 
595.000000 	 178801.325358 	 0.825358 
596.000000 	 179398.014529 	 -0.985471 
597.000000 	 179998.437225 	 -0.062775 
598.000000 	 180599.227438 	 0.227438 
599.000000 	 181201.620985 	 1.120985 
600.000000 	 181803.667214 	 0.667214 
601.000000 	 182406.446605 	 -0.053395 
602.000000 	 183010.628856 	 -0.371144 
603.000000 	 183618.162000 	 1.662000 
604.000000 	 184222.619001 	 -0.380999 
605.000000 	 184831.775024 	 1.275024 
606.000000 	 185438.472387 	 -0.527613 
607.000000 	 186048.167318 	 -0.332682 
608.000000 	 186658.079560 	 -0.920440 
609.000000 	 187270.410728 	 -0.089272 
610.000000 	 187881.355244 	 -1.644756 
611.000000 	 188496.332910 	 -0.167090 
612.000000 	 189111.049143 	 0.049143 
613.000000 	 189726.504386 	 0.004386 
614.000000 	 190341.879134 	 -1.120866 
615.000000 	 190961.034726 	 0.534726 
616.000000 	 191579.707194 	 0.707194 
617.000000 	 192197.284147 	 -1.215853 
618.000000 	 192817.354596 	 -1.645404 
619.000000 	 193440.840510 	 0.340510 
620.000000 	 194064.415395 	 1.415395 
621.000000 	 194688.487727 	 1.987727 
622.000000 	 195310.338456 	 -0.661544 
623.000000 	 195937.533497 	 1.033497 
624.000000 	 196563.594539 	 0.594539 
625.000000 	 197190.059199 	 -0.440801 
626.000000 	 197818.044818 	 -0.955182 
627.000000 	 198446.498037 	 -2.001963 
628.000000 	 199079.693556 	 0.693556 
629.000000 	 199711.974423 	 1.474423 
630.000000 	 200344.099422 	 1.099422 
631.000000 	 200977.041129 	 0.541129 
632.000000 	 201610.495775 	 -0.504225 
633.000000 	 202247.884370 	 1.384370 
634.000000 	 202884.884531 	 1.884531 
635.000000 	 203518.735772 	 -1.764228 
636.000000 	 204158.775446 	 -0.224554 
637.000000 	 204797.269348 	 -1.230652 
638.000000 	 205439.033089 	 0.033089 
639.000000 	 206080.818314 	 0.318314 
640.000000 	 206722.729323 	 -0.270677 
641.000000 	 207365.574899 	 -0.925101 
642.000000 	 208010.897828 	 -0.102172 
643.000000 	 208654.538691 	 -1.961309 
644.000000 	 209303.030774 	 0.030774 
645.000000 	 209950.167208 	 -0.332792 
646.000000 	 210600.063395 	 1.063395 
647.000000 	 211249.460152 	 0.960152 
648.000000 	 211897.636429 	 -1.363571 
649.000000 	 212548.622795 	 -1.877205 
